kind,mask,changed,recall,precision,iou,ratio
modify,0.3892326354980469,0.027585983276367188,0.996784899398465,0.0706448767579752,0.07062878307241208,14.10979741409113
insert,0.636844,0.118676,0.9905625400249418,0.1845915169178009,0.1842674508279464,5.366240857460649
modify,0.5203142166137695,0.06931591033935547,0.9973033584194378,0.13286008332279425,0.13281237117179842,7.506418282129246
modify,0.684332,0.007924,0.7910146390711762,0.0091592969494339,0.009137186073225771,86.36193841494195
modify,0.59868,0.17714,0.9940160325166535,0.29411371684372284,0.2935938906859639,3.3796996725753643
modify,0.37841129302978516,0.23933982849121094,0.9998645234812684,0.6324002691579741,0.6323460853218154,1.5810627734434146
modify,0.54672,0.073808,0.9866139171905485,0.13319432250512145,0.13295405581076047,7.407327119011489
modify,0.6764421463012695,0.27123069763183594,0.9947821072691856,0.3988743847816371,0.3980416018908671,2.493973404217914
insert,0.602924,0.024044,0.9545832640159707,0.038067816175836426,0.03799899340414824,25.075860921643656
modify,0.392192,0.01634,0.9023255813953488,0.037593831592689295,0.03744146596645911,24.001958384332923
modify,0.42430686950683594,0.2232799530029297,0.9911671493127632,0.5215747620909921,0.5191616739674173,1.9003357166653854
modify,0.3402366638183594,0.13380908966064453,0.3932962247610631,0.15467648081084415,0.12487949489692005,2.542702178762588
modify,0.485132,0.040852,0.9757172231469695,0.08216320506583775,0.08199554023253326,11.87535493978263
modify,0.832876,0.156796,0.9924232761039823,0.186832133474851,0.18656601891461566,5.311844689915559
modify,0.787776,0.068744,0.9856278366111951,0.08600922089527988,0.08590148637615307,11.45956010706389
insert,0.7741622924804688,0.03587627410888672,0.9976607565326032,0.04623365296488652,0.04622864153248852,21.57867035274728
modify,0.632156,0.064644,0.9573664995977972,0.09789988547130772,0.09747492565898896,9.779035950745625
insert,0.6000566482543945,0.08336544036865234,0.9990733855745582,0.13880054990027096,0.1387826838671129,7.1979065377795575
modify,0.803034782409668,0.0720357894897461,0.9816508903157477,0.08805844832152278,0.08791374259125546,11.147719600185345
modify,0.827896,0.192356,0.9882093618083138,0.2296037183414342,0.22897644320881175,4.303978040716172
insert,0.7798795700073242,0.010890007019042969,0.9856379718013837,0.013763156317906288,0.013760396710219861,71.61423942551887
modify,0.699248,0.008,0.993,0.01136077614809052,0.01135986638143068,87.40599999999999
modify,0.7086591720581055,0.04100990295410156,0.9876982465931817,0.05715781413381816,0.05711715249350468,17.280196269940934
modify,0.660716,0.164688,0.9848197804333042,0.24547309282656996,0.24454777930568622,4.011925580491596
insert,0.6683816909790039,0.0737314224243164,0.9963395547967353,0.10990955255697019,0.10986518943651125,9.065086078667235
modify,0.627792,0.129392,0.9760108816619265,0.20116216836149553,0.20017245314600188,4.851861011499938
modify,0.555712,0.052464,0.9701128392802684,0.09158700909823794,0.09132931380993396,10.59225373589509
modify,0.5905618667602539,0.09940624237060547,0.9927183767448554,0.16709917981296699,0.16689462071457142,5.940893174077805
modify,0.5522851943969727,0.0780181884765625,0.996785155486016,0.14081017003589974,0.14074625113915662,7.078928711128496
modify,0.243012,0.006836,0.8490345231129316,0.02388359422579955,0.02378259658094442,35.54885898186074
modify,0.796112,0.23706,0.9937568548046908,0.29591313784995077,0.29536404577779113,3.358272167383785
modify,0.6232852935791016,0.08930683135986328,0.9980992044423087,0.14301168060566558,0.1429727414568483,6.979144641999039
modify,0.6339712142944336,0.015692710876464844,0.9943482224247949,0.0246131351285488,0.02460969226604097,40.399088422971744
modify,0.789448,0.12956,0.986168570546465,0.16184473201528157,0.16147818613821344,6.0933004013584435
modify,0.7793712615966797,0.12883377075195312,0.9882672549077666,0.16336527048688865,0.16304904038152696,6.049432979006899
modify,0.7759943008422852,0.09725189208984375,0.9942633560837845,0.12460657573102255,0.12451705445587112,7.979220600925708
modify,0.32018,0.076088,0.9648827673220481,0.22929602098819413,0.22739831253949178,4.208022289980023
modify,0.6076087951660156,0.4523305892944336,0.9948260921815801,0.7405920982414727,0.73775051674698,1.3432847778740593
modify,0.38868,0.031908,0.9689106180268271,0.07954101059997942,0.07933852060194214,12.181271154569389
insert,0.285652,0.042376,0.9670568246177081,0.14346127455785362,0.14276357961037875,6.740891070417218
modify,0.3151407241821289,0.0498046875,0.986538756127451,0.15591210746590245,0.1555811228680485,6.327531403186274
